,GMT,airportId,codeIataAirport,codeIataCity,latitudeAirport,longitudeAirport,nameAirport
0,-10,1,AAA,AAA,-17.05,-145.41667,Anaa
1,10,2,AAB,AAB,-26.7,141.04167,Arrabury
2,2,3,AAC,AAC,31.133333,33.75,El Arish International Airport
3,1,4,AAE,AAE,36.821392,7.811857,Les Salines
4,-5,5,AAF,AAF,29.733334,-84.98333,Apalachicola Regional
5,-3,6,AAG,AAG,-24.103611,-49.79,Arapoti
6,1,7,AAH,AAH,50.75,6.133333,Aachen/Merzbruck
7,-3,8,AAI,AAI,-12.916667,-46.933334,Arraias
8,-3,9,AAJ,AAJ,3.9,-55.36667,Cayana Airstrip
9,12,10,AAK,AAK,0.166667,173.58333,Aranuka
10,1,11,AAL,AAL,57.08655,9.872241,Aalborg
11,2,12,AAM,AAM,-24.8,31.533333,Mala Mala
12,4,13,AAN,AAN,24.260231,55.616627,Al Ain
13,-4,14,AAO,AAO,9.431944,-64.46389,Anaco
14,3,15,AAQ,AAQ,44.9,37.316666,Anapa
15,1,16,AAR,AAR,56.30823,10.626351,Aarhus Airport
16,9,17,AAS,AAS,-3.916667,139.25,Apalapsili
17,8,18,AAT,AAT,47.750362,88.08444,Altay
18,13,19,AAU,AAU,-13.458333,-172.6,Asau
19,8,20,AAV,AAV,6.333333,124.76667,Allah Valley
20,5,21,AAW,AAW,34.2,73.25,Abbottabad
21,-3,22,AAX,AAX,-19.568056,-46.92917,Araxa
22,3,23,AAY,AAY,16.19596,52.173256,Al Ghaydah
23,-6,24,AAZ,AAZ,14.87,-91.5,Quetzaltenango
24,7,25,ABA,ABA,53.716667,91.5,Abakan
25,1,26,ABB,ABB,6.203333,6.65888,Asaba International
26,1,27,ABC,ABC,38.948334,-1.863333,Los Llanos
27,3.30,28,ABD,ABD,30.363905,48.226597,Abadan
28,-5,29,ABE,ABE,40.651573,-75.434364,Lehigh Valley International
29,12,30,ABF,ABF,1.670833,173.30417,Abaiang
30,10,31,ABG,ABG,-17.666668,143.2,Abingdon
31,10,32,ABH,ABH,-23.65,146.63333,Alpha
32,-6,33,ABI,ABI,32.409443,-99.679726,Municipal
33,0,34,ABJ,ABJ,5.254879,-3.933015,Felix Houphouet Boigny
34,3,35,ABK,ABK,6.733889,44.26611,Kabri Dar
35,-9,36,ABL,ABL,67.0875,-157.84584,Ambler
36,10,37,ABM,ABM,-10.942619,142.45033,Bamaga Injinoo
37,-3,38,ABN,ABN,5.5,-54.083332,Albina
38,0,39,ABO,ABO,5.433333,-3.216667,Aboisso
39,10,40,ABP,ABP,-6.066667,141.1,Atkamba
40,-7,41,ABQ,ABQ,35.049625,-106.617195,Albuquerque International
41,-6,42,ABR,ABR,45.4525,-98.42611,Municipal
42,2,43,ABS,ABS,22.367567,31.609774,Abu Simbel
43,3,44,ABT,ABT,20.29401,41.64002,Al-Aqiq
44,8,45,ABU,ABU,-9.133333,124.88333,Atambua
45,1,46,ABV,ABV,9.004614,7.270447,Nnamdi Azikiwe International Airport
46,10,47,ABW,ABW,-10.183333,148.7,Abau
47,10,48,ABX,ABX,-36.069626,146.95453,Albury
48,-5,49,ABY,ABY,31.532223,-84.19611,Dougherty County
49,0,50,ABZ,ABZ,57.200253,-2.204186,Dyce
50,-6,51,ACA,ACA,16.762403,-99.75459,General Juan N. Alvarez International
51,-5,52,ACB,ACB,44.983334,-85.21667,Antrim County
52,0,53,ACC,ACC,5.60737,-0.171769,Kotoka
53,-5,54,ACD,ACD,8.516667,-77.3,Acandi
54,0,55,ACE,ACE,28.950668,-13.609059,Lanzarote
55,1,56,ACH,ACH,47.483334,9.566667,Altenrhein
56,0,57,ACI,ACI,49.709347,-2.215369,The Blaye
57,5.30,58,ACJ,ACJ,8.35,80.38333,Anuradhapura
58,-5,59,ACK,ACK,41.256668,-70.05972,Nantucket Memorial
59,-5,60,ACL,ACL,4.75,-73.0,Aguaclara
60,-5,61,ACM,ACM,-2.0,-71.833336,Arica
61,-6,62,ACN,ACN,29.3,-100.916664,International
62,3.30,63,ACP,ACP,37.347244,46.145115,Sahand
63,-5,64,ACR,ACR,-0.383333,-72.3,Araracuara
64,7,65,ACS,ACS,56.266666,90.566666,Achinsk
65,-6,66,ACT,ACT,31.609133,-97.22321,Municipal
66,-5,67,ACU,ACU,9.576389,-79.72444,Achutupo
67,-8,68,ACV,ACV,40.970913,-124.106926,Arcata
68,8,69,ACX,ACX,25.085556,104.95944,Xingyi
69,-5,70,ACY,AIY,39.450703,-74.572235,Atlantic City International
70,3.30,71,ACZ,ACZ,31.087694,61.542244,Zabol Airport
71,3,72,ADA,ADA,36.98503,35.29736,Adana
72,3,73,ADB,IZM,38.294403,27.147594,Adnan Menderes Airport
73,10,74,ADC,ADC,-7.133333,145.73334,Andakombe
74,3,75,ADD,ADD,8.983759,38.7959,Bole International
75,3,76,ADE,ADE,12.826116,45.037537,International
76,3,77,ADF,ADF,37.75,38.266666,Adiyaman
77,-5,78,ADG,ADG,41.9,-84.03333,Lenawee County
78,9,79,ADH,ADH,58.6,125.4,Aldan
79,2,80,ADI,ADI,-22.4,15.0,Arandis
80,2,81,ADJ,AMM,31.97533,35.98277,Marka International Airport
81,-10,82,ADK,ADK,51.88278,-176.64473,Adak Island Ns
82,9.30,83,ADL,ADL,-34.938175,138.53735,Adelaide International Airport
83,-6,84,ADM,ADM,34.303055,-97.01945,Ardmore Municipal Airport
84,-5,85,ADN,ADN,5.666667,-75.933334,Andes
85,9.30,86,ADO,ADO,-31.016666,137.15,Andamooka
86,5.30,87,ADP,ADP,7.336389,81.625275,Ampara
87,-9,88,ADQ,ADQ,57.755276,-152.51297,Kodiak Airport
88,-5,89,ADR,ADR,33.45,-79.566666,Andrews
89,-6,90,ADS,DFW,32.783333,-97.3,Addison Airport
90,-6,91,ADT,ADT,34.8,-96.666664,Ada Municipal
91,3.30,92,ADU,ADU,38.323826,48.42125,Ardabil
92,-5,93,ADW,ADW,38.816666,-76.86667,Andrews AFB
93,0,94,ADX,ADX,56.36667,-2.866667,Leuchars
94,2,95,ADY,ADY,-22.666668,29.05,Alldays
95,-5,96,ADZ,ADZ,12.586047,-81.70221,San Andres Island
96,12,97,AEA,AEA,0.483333,173.85,Abemama Atoll
97,8,98,AEB,AEB,23.71947,106.96777,Youjiang
98,-9,99,AED,AED,58.033333,-152.9,Aleneva
99,3,100,AEE,AEE,10.05667,32.96096,Adareil
100,7,101,AEG,AEG,1.399722,99.416664,Aek Godang
101,1,102,AEH,AEH,13.851389,20.850834,Abéché
102,1,103,AEI,AEI,36.1289,-5.441301,Algeciras
103,10,104,AEK,AEK,-7.366667,146.28334,Aseki
104,-6,105,AEL,AEL,43.65,-93.36667,Albert Lea
105,0,106,AEO,AEO,16.709167,-9.635556,Aioun El Atrouss
106,-3,107,AEP,BUE,-34.55622,-58.41667,Aeroparque Jorge Newbery
107,3,108,AER,AER,43.44884,39.941105,Sochi/Adler International Airport
108,1,109,AES,AES,62.559643,6.116605,Vigra
109,-9,110,AET,AET,66.56167,-152.65834,Allakaket
110,3.30,111,AEU,AEU,25.8875,55.041668,Abu Musa
111,-6,112,AEX,AEX,31.321268,-92.53958,Alexandria International
112,0,113,AEY,AEY,65.654564,-18.075068,Akureyri
113,-3,114,AFA,AFA,-34.58917,-68.40056,San Rafael
114,2,115,AFD,AFD,-33.583332,26.883333,Port Alfred
115,-7,116,AFF,COS,38.833332,-104.7,USAF Academy Airstrip
116,-5,117,AFI,AFI,6.916667,-75.066666,Amalfi
117,5.30,118,AFK,ADP,40.668888,-96.00694,Kondavattavan Tank
118,-4,119,AFL,AFL,-9.872456,-56.104767,Alta Floresta
119,-5,120,AFN,AFN,42.833332,-72.066666,Municipal
120,-7,121,AFO,AFO,42.733334,-110.933334,Municipal
121,10,122,AFR,AFR,-9.133333,148.38333,Afore
122,5,123,AFS,AFS,41.61361,64.233055,Zarafshan
123,11,124,AFT,AFT,-9.2,160.85,Afutara Aerodrome
124,-6,125,AFW,DFW,32.986668,-97.316666,Fort Worth Alliance
125,3,126,AFY,AFY,38.733334,30.6,Afyon
126,3.30,127,AFZ,AFZ,36.171513,57.60332,Sabzevar
127,0,128,AGA,AGA,30.378326,-9.555895,Agadir Almassira
128,1,129,AGB,MUC,48.425278,10.931667,Augsburg - Muehlhausen
129,-5,130,AGC,PIT,40.35472,-79.93,Allegheny County
130,9,131,AGD,AGD,-1.383333,133.86667,Anggi
131,1,132,AGE,AGE,53.783333,7.916667,Flugplatz
132,1,133,AGF,AGF,44.17361,0.598611,La Garenne
133,10,134,AGG,AGG,-4.168611,144.07388,Angoram
134,1,135,AGH,AGH,56.293056,12.8625,Angelholm
135,-3,136,AGI,AGI,5.833333,-56.833332,Wageningen
136,9,137,AGJ,AGJ,26.589722,127.23805,Aguni
137,10,138,AGK,AGK,-6.403333,143.84666,Kagua
138,10,139,AGL,AGL,-9.340278,149.15527,Wanigela
139,-3,140,AGM,AGM,65.6,-37.683334,Tasiilaq
140,-9,141,AGN,AGN,57.503887,-134.58333,Angoon
